gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof
ENSG00000075624,ENSG00000184009,0.0,1,21,6.141755636830888e-05,0.9999385843296512,-3.8404053175214536
ENSG00000075624,ENSG00000187003,0.0,1,151,0.0004416214767435,0.9995584760236677,-3.325358863937244
ENSG00000075886,ENSG00000123416,0.0,98,2,0.0005732305261042,0.9994269337391252,-3.2519572668666186
ENSG00000075886,ENSG00000167553,0.0,98,96,0.0275150652530023,0.9728600260606238,-1.924595779098506
ENSG00000076555,ENSG00000278540,1.0,1109,119,0.3859683967372424,0.9421702408095708,-1.5732561501487066
ENSG00000077312,ENSG00000125870,0.0,23,34,0.0022870728133341,0.9977155405449992,-2.8359528607776783
ENSG00000079112,ENSG00000170558,0.0,586,7,0.0119968960106096,0.988074779830804,-2.259529935805254
ENSG00000080224,ENSG00000060237,0.0,146,481,0.2053861577867076,0.8143327947381668,-0.8939766014134076
ENSG00000080503,ENSG00000127616,0.0,701,20,0.0410035304896995,0.959825741286924,-1.7486674628775565
ENSG00000082258,ENSG00000129315,0.0,49,56,0.008025227365459,0.9920068888010698,-2.4092299411794444
ENSG00000082512,ENSG00000127191,0.0,137,16,0.0064108230266349,0.9936096824568962,-2.489824046408736
ENSG00000083067,ENSG00000092439,0.0,281,253,0.2079218254710564,0.8122705330963063,-0.8862943482055399
ENSG00000084710,ENSG00000132294,0.0,58,120,0.0203555329677823,0.9798502423064422,-2.050665679902888
ENSG00000084733,ENSG00000139998,0.0,1,9,2.6321809872132377e-05,0.9999736785365436,-4.043572236658629
ENSG00000084733,ENSG00000166128,0.0,1,25,7.311613853370104e-05,0.999926886534386,-3.7973911873804855
ENSG00000084733,ENSG00000167461,0.0,1,10,2.924645541348042e-05,0.99997075397226,-4.018813056253902
ENSG00000084733,ENSG00000206418,0.0,1,133,0.0003889778569992,0.9996110977850792,-3.360574882392485
ENSG00000085449,ENSG00000185359,0.0,29,115,0.0097536928803957,0.9902937201062236,-2.3375123452010587
ENSG00000087088,ENSG00000171552,0.0,128,0,0.0,1.0,-inf
