,gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,gene_pair
22884448,ENSG00000111450,ENSG00000103496,0.0,79,115,0.0265704047431469,0.9737794827276866,-1.9394954786510603,"('ENSG00000103496', 'ENSG00000111450')"
22895441,ENSG00000111481,ENSG00000005243,0.0,4,91,0.0010645709770506,0.9989359954776036,-3.071759779866361,"('ENSG00000005243', 'ENSG00000111481')"
23368742,ENSG00000111859,ENSG00000050820,0.0,226,118,0.0779944472966695,0.9249695626108506,-1.4393164832028194,"('ENSG00000050820', 'ENSG00000111859')"
23404424,ENSG00000111875,ENSG00000105011,0.0,3,62,0.0005439840706907,0.9994561638618183,-3.2668085012544568,"('ENSG00000105011', 'ENSG00000111875')"
24036757,ENSG00000112242,ENSG00000205250,0.0,9,18,0.0004737925776983,0.999526319644281,-3.3057100355169475,"('ENSG00000112242', 'ENSG00000205250')"
24607950,ENSG00000112576,ENSG00000110092,0.0,28,2,0.0001637801503154,0.9998362332609212,-3.592489800398216,"('ENSG00000110092', 'ENSG00000112576')"
26024774,ENSG00000113575,ENSG00000104695,0.0,3,20,0.0001754787324808,0.9998245366630112,-3.5744784792068014,"('ENSG00000104695', 'ENSG00000113575')"
28317404,ENSG00000116251,ENSG00000163584,0.0,19,149,0.0082796715275563,0.9917545105489022,-2.3978641765215345,"('ENSG00000116251', 'ENSG00000163584')"
29728714,ENSG00000116954,ENSG00000025039,0.0,15,58,0.0025444416209727,0.9974587927268238,-2.8017633187083613,"('ENSG00000025039', 'ENSG00000116954')"
30584272,ENSG00000117394,ENSG00000059804,0.0,2,108,0.0006317234369311,0.9993684760583084,-3.224246135330076,"('ENSG00000059804', 'ENSG00000117394')"
30594853,ENSG00000117394,ENSG00000173262,0.0,2,172,0.0010060780662237,0.9989944278606324,-3.088581639785822,"('ENSG00000117394', 'ENSG00000173262')"
31051821,ENSG00000117569,ENSG00000011304,0.0,0,252,0.0,1.0,-inf,"('ENSG00000011304', 'ENSG00000117569')"
35052900,ENSG00000121879,ENSG00000105851,0.0,18,263,0.0138452719927416,0.9862501329754174,-2.204350072237081,"('ENSG00000105851', 'ENSG00000121879')"
