gene_1,gene_2,both_missense_lof,missense_1,lof_2,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
ENSG00000074211,ENSG00000221914,0.0,20,7,0.0003633768053267,0.9996366892080284,-3.379332164679412
ENSG00000074800,ENSG00000108515,3.0,768,733,1.4611485164131643,0.9391387036257904,-1.547583557159484
ENSG00000074800,ENSG00000111674,0.0,768,25,0.0498345333019496,0.9513868343153564,-1.658451687134471
ENSG00000075624,ENSG00000107796,0.0,14,17,0.0006177405690554,0.9993824501933674,-3.230647956558152
ENSG00000075624,ENSG00000148156,0.0,14,59,0.0021439231514276,0.9978583734103016,-2.856510884684308
ENSG00000075624,ENSG00000159251,0.0,14,43,0.0015625202629048,0.9984386998363218,-2.955403828357845
ENSG00000075624,ENSG00000184009,0.0,14,21,0.0007630912911861,0.9992371997889284,-3.1697692441910243
ENSG00000075624,ENSG00000187003,0.0,14,151,0.0054869897604334,0.9945280362727568,-2.5444841622877767
ENSG00000075886,ENSG00000123416,0.0,17,2,8.824865272220254e-05,0.9999117552410756,-3.750489752906745
ENSG00000075886,ENSG00000167553,0.0,17,96,0.0042359353306657,0.9957730235891312,-2.633380704381985
ENSG00000076555,ENSG00000278540,0.0,414,119,0.1278722977944714,0.8799657455362676,-1.1748155716327058
ENSG00000077312,ENSG00000125870,0.0,278,34,0.0245331254567723,0.975765365709608,-1.973230837757945
ENSG00000079112,ENSG00000170558,0.0,342,7,0.0062137433710868,0.9938055220082258,-2.500867386343119
ENSG00000080224,ENSG00000060237,0.0,131,481,0.1635481134317266,0.8491256436700626,-1.032690602693254
ENSG00000080503,ENSG00000127616,0.0,68,20,0.0035299461088881,0.9964762768265154,-2.694593912624096
ENSG00000082258,ENSG00000129315,0.0,196,56,0.0284887415376145,0.9719132363331536,-1.9096869879833325
ENSG00000082512,ENSG00000127191,0.0,166,16,0.0068937771067697,0.993129930465108,-2.463986228191549
ENSG00000083067,ENSG00000092439,0.0,275,253,0.1805852945043306,0.8347814753881083,-0.973233933630216
ENSG00000084710,ENSG00000132294,0.0,809,120,0.2519758590079829,0.7772635017544492,-0.7629839019440162
ENSG00000084733,ENSG00000139998,0.0,24,9,0.0005606384996469,0.9994395186287512,-3.258263483981244
ENSG00000084733,ENSG00000166128,0.0,24,25,0.0015573291656859,0.9984438828421326,-2.9564294405041984
ENSG00000084733,ENSG00000167461,0.0,24,10,0.0006229316662743,0.9993772623153748,-3.228255823383074
ENSG00000084733,ENSG00000206418,0.0,24,133,0.0082849911614491,0.991749234792027,-2.3976298639355744
ENSG00000085449,ENSG00000185359,0.0,975,115,0.2910258878375577,0.7474963267041295,-0.6666318077244777
ENSG00000087088,ENSG00000171552,0.0,6,0,0.0,1.0,-inf
ENSG00000090621,ENSG00000070756,0.0,89,3,0.0006930114787302,0.9993072285982628,-3.19764594394314
ENSG00000092068,ENSG00000103257,0.0,1014,108,0.2842437193209954,0.7525832032856977,-0.6826411999175857
ENSG00000092439,ENSG00000130529,6.0,1706,1033,4.574130123383296,0.8214373051018908,-0.9208564278962824
ENSG00000092439,ENSG00000142185,5.0,1706,1395,6.177068269234946,0.4176738373019368,0.2078479715116321
ENSG00000092531,ENSG00000132639,0.0,220,2,0.0011420413881696,0.9988586104929144,-3.0507403365656405
ENSG00000100749,ENSG00000105053,0.0,208,161,0.0869197318341505,0.9167506785754392,-1.3835423119603183
ENSG00000100842,ENSG00000050820,0.0,414,118,0.1267977406701482,0.8809118272156639,-1.1795572717014178
ENSG00000101493,ENSG00000171940,0.0,625,10,0.0162221788092284,0.983908692107334,-2.142135054624608
ENSG00000102882,ENSG00000100030,0.0,577,8,0.0119810523813437,0.988090434645317,-2.2600341617395534
ENSG00000103018,ENSG00000166347,0.0,37,11,0.0010563882840569,0.9989441694976178,-3.074061212200203
ENSG00000103257,ENSG00000021488,0.0,501,247,0.321191353776894,0.7252844517915167,-0.5986128329394762
ENSG00000103257,ENSG00000130876,2.0,501,125,0.1625462316684686,0.9993660545907072,-3.2231501306993118
ENSG00000103489,ENSG00000015532,0.0,2043,76,0.4030056414962042,0.6683083290540238,-0.4352467365406398
ENSG00000104177,ENSG00000099783,0.0,472,3,0.0036752968310187,0.9963314488057764,-2.681143597555106
ENSG00000105357,ENSG00000100345,0.0,389,26,0.0262513786362457,0.9740901933648086,-1.9446292749255665
ENSG00000105810,ENSG00000135446,0.0,19,18,0.0008876776244409,0.99911271624479,-3.1255767588010515
ENSG00000105866,ENSG00000185591,0.0,265,1,0.0006878203815112,0.9993124161127024,-3.1998130035743246
ENSG00000106089,ENSG00000103496,0.0,326,115,0.0973071173692756,0.907277322716648,-1.3241737262449127
ENSG00000106624,ENSG00000108582,1.0,1222,82,0.2600843528639877,0.9715080855761984,-1.9034348376558492
ENSG00000106976,ENSG00000079805,0.0,518,19,0.0255453894144681,0.9747781333528982,-1.95618187144456
ENSG00000108582,ENSG00000088882,0.0,1426,303,1.121479452085407,0.3257974362015258,0.4515476750012125
ENSG00000108654,ENSG00000100201,0.0,332,10,0.0086172213834621,0.9914198004506232,-2.383252935013921
ENSG00000109332,ENSG00000072401,0.0,2,11,5.7102069408484e-05,0.9999428995608836,-3.858251976563777
ENSG00000109332,ENSG00000078967,0.0,2,109,0.0005658295968658,0.9994343304545118,-3.255648016771948
ENSG00000109332,ENSG00000131508,0.0,2,0,0.0,1.0,-inf
ENSG00000109472,ENSG00000108582,0.0,488,82,0.1038634731568134,0.9013483472656738,-1.289272679668724
ENSG00000109625,ENSG00000108582,0.0,2595,82,0.5523067886105141,0.575620443003319,-0.1907019459901967
ENSG00000109819,ENSG00000148840,0.0,709,44,0.0809707344212303,0.9222206803716472,-1.420168474414215
ENSG00000109832,ENSG00000168872,0.0,558,0,0.0,1.0,-inf
ENSG00000109971,ENSG00000126803,0.0,187,37,0.0179586008289682,0.9822016938525304,-2.1015055387957244
ENSG00000110092,ENSG00000118971,0.0,19,1,4.931542358005437e-05,0.9999506857924054,-3.893941571948797
ENSG00000110395,ENSG00000134440,0.0,83,208,0.044809551194003,0.9561795677505236,-1.7079756297804205
ENSG00000110721,ENSG00000100288,0.0,469,90,0.109558106806005,0.8962300857813332,-1.26035915696671
ENSG00000110721,ENSG00000139163,0.0,469,30,0.0365193689353349,0.964139419361404,-1.8008840258865728
ENSG00000111450,ENSG00000103496,0.0,538,115,0.1605865924683138,0.8516440744164079,-1.0435106494768185
ENSG00000111481,ENSG00000005243,0.0,23,91,0.0054324832396344,0.99458224601323,-2.547959403131433
ENSG00000111846,ENSG00000015532,0.0,29,76,0.0057205891352863,0.9942957422781322,-2.5299304012575847
ENSG00000111859,ENSG00000050820,0.0,386,118,0.1182220480644376,0.8884987412833711,-1.2185829662131002
ENSG00000111875,ENSG00000105011,0.0,49,62,0.0078852766755897,0.9921457305647864,-2.4156178340544603
ENSG00000112242,ENSG00000101412,0.0,271,0,0.0,1.0,-inf
ENSG00000112242,ENSG00000133740,0.0,271,22,0.0154746608096991,0.9846444565288908,-2.1607961845404065
ENSG00000112242,ENSG00000205250,0.0,271,18,0.0126610861170265,0.9874187282332486,-2.238898155538428
ENSG00000112576,ENSG00000110092,0.0,132,2,0.0006852248329018,0.9993150098800204,-3.200902198220013
ENSG00000112576,ENSG00000118971,0.0,132,1,0.0003426124164509,0.9996574462684809,-3.39547054009897
ENSG00000113575,ENSG00000104695,0.0,15,20,0.0007786645828429,0.999221638497752,-3.163896209206368
ENSG00000113575,ENSG00000149923,0.0,15,11,0.0004282655205636,0.9995718261720244,-3.333908686841934
ENSG00000114302,ENSG00000108946,0.0,52,1,0.0001349685276927,0.9998650405801492,-3.642580201843273
ENSG00000114923,ENSG00000033867,0.0,70,231,0.0419700210152357,0.9588985269459186,-1.738044652654873
ENSG00000115419,ENSG00000135423,0.0,401,182,0.1894283286168172,0.8274320179695535,-0.9440659185443318
ENSG00000115884,ENSG00000124145,0.0,9,77,0.0017987151863672,0.9982029015323096,-2.911741719877434
